season,home_team,away_team,home_goals,away_goals
2010-2011,Arsenal,AVL,1,2
2010-2011,Arsenal,BIR,2,1
2010-2011,Arsenal,BLB,0,0
2010-2011,Arsenal,BLP,6,0
2010-2011,Arsenal,BOL,4,1
2010-2011,Arsenal,CHE,3,1
2010-2011,Arsenal,EVE,2,1
2010-2011,Arsenal,FUL,2,1
2010-2011,Arsenal,LIV,1,1
2010-2011,Arsenal,MCI,0,0
2010-2011,Arsenal,MUN,1,0
2010-2011,Arsenal,NEW,0,1
2010-2011,Arsenal,STK,1,0
2010-2011,Arsenal,SUN,0,0
2010-2011,Arsenal,TOT,2,3
2010-2011,Arsenal,WBA,2,3
2010-2011,Arsenal,WHU,1,0
2010-2011,Arsenal,WIG,3,0
2010-2011,Arsenal,WOL,2,0
2010-2011,Aston Villa,ARS,2,4
2010-2011,Aston Villa,BIR,0,0
2010-2011,Aston Villa,BLB,4,1
2010-2011,Aston Villa,BLP,3,2
2010-2011,Aston Villa,BOL,1,1
2010-2011,Aston Villa,CHE,0,0
2010-2011,Aston Villa,EVE,1,0
2010-2011,Aston Villa,FUL,2,2
2010-2011,Aston Villa,LIV,1,0
2010-2011,Aston Villa,MCI,1,0
2010-2011,Aston Villa,MUN,2,2
2010-2011,Aston Villa,NEW,1,0
2010-2011,Aston Villa,STK,1,1
2010-2011,Aston Villa,SUN,0,1
2010-2011,Aston Villa,TOT,1,2
2010-2011,Aston Villa,WBA,2,1
2010-2011,Aston Villa,WHU,3,0
2010-2011,Aston Villa,WIG,1,1
2010-2011,Aston Villa,WOL,0,1
2010-2011,Birmingham City,ARS,0,3
2010-2011,Birmingham City,AVL,1,1
2010-2011,Birmingham City,BLB,2,1
2010-2011,Birmingham City,BLP,2,0
2010-2011,Birmingham City,BOL,2,1
2010-2011,Birmingham City,CHE,1,0
2010-2011,Birmingham City,EVE,0,2
2010-2011,Birmingham City,FUL,0,2
2010-2011,Birmingham City,LIV,0,0
2010-2011,Birmingham City,MCI,2,2
2010-2011,Birmingham City,MUN,1,1
2010-2011,Birmingham City,NEW,0,2
2010-2011,Birmingham City,STK,1,0
2010-2011,Birmingham City,SUN,2,0
2010-2011,Birmingham City,TOT,1,1
2010-2011,Birmingham City,WBA,1,3
2010-2011,Birmingham City,WHU,2,2
2010-2011,Birmingham City,WIG,0,0
2010-2011,Birmingham City,WOL,1,1
2010-2011,Blackburn Rovers,ARS,1,2
2010-2011,Blackburn Rovers,AVL,2,0
2010-2011,Blackburn Rovers,BIR,1,1
2010-2011,Blackburn Rovers,BLP,2,2
2010-2011,Blackburn Rovers,BOL,1,0
2010-2011,Blackburn Rovers,CHE,1,2
2010-2011,Blackburn Rovers,EVE,1,0
2010-2011,Blackburn Rovers,FUL,1,1
2010-2011,Blackburn Rovers,LIV,3,1
2010-2011,Blackburn Rovers,MCI,0,1
2010-2011,Blackburn Rovers,MUN,1,1
2010-2011,Blackburn Rovers,NEW,0,0
2010-2011,Blackburn Rovers,STK,0,2
2010-2011,Blackburn Rovers,SUN,0,0
2010-2011,Blackburn Rovers,TOT,0,1
2010-2011,Blackburn Rovers,WBA,2,0
2010-2011,Blackburn Rovers,WHU,1,1
2010-2011,Blackburn Rovers,WIG,2,1
2010-2011,Blackburn Rovers,WOL,3,0
2010-2011,Blackpool,ARS,1,3
2010-2011,Blackpool,AVL,1,1
2010-2011,Blackpool,BIR,1,2
2010-2011,Blackpool,BLB,1,2
2010-2011,Blackpool,BOL,4,3
2010-2011,Blackpool,CHE,1,3
2010-2011,Blackpool,EVE,2,2
2010-2011,Blackpool,FUL,2,2
2010-2011,Blackpool,LIV,2,1
2010-2011,Blackpool,MCI,2,3
2010-2011,Blackpool,MUN,2,3
2010-2011,Blackpool,NEW,1,1
2010-2011,Blackpool,STK,0,0
2010-2011,Blackpool,SUN,1,2
2010-2011,Blackpool,TOT,3,1
2010-2011,Blackpool,WBA,2,1
2010-2011,Blackpool,WHU,1,3
2010-2011,Blackpool,WIG,1,3
2010-2011,Blackpool,WOL,2,1
2010-2011,Bolton Wanderers,ARS,2,1
2010-2011,Bolton Wanderers,AVL,3,2
2010-2011,Bolton Wanderers,BIR,2,2
2010-2011,Bolton Wanderers,BLB,2,1
2010-2011,Bolton Wanderers,BLP,2,2
2010-2011,Bolton Wanderers,CHE,0,4
2010-2011,Bolton Wanderers,EVE,2,0
2010-2011,Bolton Wanderers,FUL,0,0
2010-2011,Bolton Wanderers,LIV,0,1
2010-2011,Bolton Wanderers,MCI,0,2
2010-2011,Bolton Wanderers,MUN,2,2
2010-2011,Bolton Wanderers,NEW,5,1
2010-2011,Bolton Wanderers,STK,2,1
2010-2011,Bolton Wanderers,SUN,1,2
2010-2011,Bolton Wanderers,TOT,4,2
2010-2011,Bolton Wanderers,WBA,2,0
2010-2011,Bolton Wanderers,WHU,3,0
2010-2011,Bolton Wanderers,WIG,1,1
2010-2011,Bolton Wanderers,WOL,1,0
2010-2011,Chelsea,ARS,2,0
2010-2011,Chelsea,AVL,3,3
2010-2011,Chelsea,BIR,3,1
2010-2011,Chelsea,BLB,2,0
2010-2011,Chelsea,BLP,4,0
2010-2011,Chelsea,BOL,1,0
